;001 AIWA;;
 0101; Aiwa RC-AVT02  (TV)  ! Huayu !;0,80;Є
 0103; Aiwa RC-6VT05, RC-6VT06  (TV)   ! Huayu !;0,85;Є
 0109; Aiwa RC-TC141KE  (TV);0,90;НЕМАЄ
 0114; Aiwa RC-TV2  (TV)  Huayu  ! Huayu !;0,85;Є
 0131; Aiwa RM-053N ! Huayu ! Унив., (TV) кор. RC-ZVT03;0,95;Є
 0132; Aiwa JH32DS700S/JH32BT700S/ JH39DS700S/JH39BT700S/JU50DS700S, Satelit (=3718);1,60;Є
 0134; Aiwa JH32D3700S, Bravis, Grunhelm  (40BF) (=34102);0,00;НЕМАЄ
;002 AKAI, BRAVIS-1, LIBERTY, SATURN-1;;
 0201; Saturn, West GK21A1-C12/ GK21A1-C14, Grol GR-1402/ 2102, Akira ACH-T-1 (TV)  Huayu  ! Huayu !;1,20;Є
 0202; Sitronics ABL-105/ ABL-705/ STV-1402, Konka 52H8, CHINA XU-5251C-N (TV);0,80;Є
 0203; Akai RC-51A  (TV)  Huayu  ! Huayu !;1,00;Є
 0205; Akai 4GA1-901, Grol  (TV)  Huayu  ! Huayu !;0,85;Є
 0206; Akai RC-N1A / RC-N2A (TV+VCR)  Huayu  ! Huayu !;1,45;Є
 0213; TCL RC-W001, Hyundai, Horizont, Sitronics, Evgo  (TV);1,35;НЕМАЄ
 0222; Bravis LED-3299, Rainford LED-2499, Liberti, Akai LTA-15A15M  (LED TV) ! Huayu !;1,45;Є
 0224; Bravis EP-21, Electron, Liberton, Saturn, Changhong GHK-4421A (TV);1,60;Є
 0227; Saturn LCD-267, LCD-326, Honda, Akai CX-507, Hyundai H-LED19V13 (LED TV) ! HQ !;1,84;Є
 0234; Liberty LD-5516, 3220, 3920, 4320/ SETUP /Akira RS41-DCG / Orion/ Supra/ Mystery (замена 3715);1,30;Є
 0236; Liberty 2200-EDROLIBE, Akai 2200-EDRW, Samsung CHINA LCD  ! Huayu !;1,62;Є
 0242; Akai UA32DM1100S Huayu  !Huayu !;1,95;НЕМАЄ
;003 DAEWOO;;
 0301; Daewoo R-18H43  (TV)  Huayu  ! Huayu !;1,00;Є
 0301x; Daewoo R-18H43  (TV);0,75;Є
 0304; Daewoo R-18A07, DTA1414, Supra 5170, AMKOL  (TV) (=0301) P;1,30;Є
 0306; Daewoo R-22  (TV);1,40;МАЛО
 0307; Daewoo R-44C07  (TV)   ! Huayu !;1,00;Є
 0308; Daewoo R-25  (TV);1,35;Є
 0312; Daewoo R-28B03  (TV)  Huayu  ! Huayu !;1,00;Є
 0312x; Daewoo R-28B03  (TV);0,77;Є
 0313; Daewoo R-28B04  (TV) (=0312);1,10;Є
 0315; Daewoo R-48A01 (R-48A08, R-40A15) white  (TV)  (=0337, 0319);1,05;НЕМАЄ
 0319; Daewoo R-40A01/ R-40A06/ R-40A15/ R-48A01/ R-48A02/ R-48A08/R-40A15 (TV)  (=0323, 0337);1,25;Є
 0320; Daewoo R-40B02 /R-40B07 (TV)  Huayu  ! Huayu !;1,10;Є
 0323; Daewoo R-40A10/ R-48A02  (TV)  Huayu  ! Huayu !;1,00;Є
 0325; Daewoo ABL-30, Start Provision, Akira, Радуга  (TV)  Huayu  ! Huayu !;0,90;Є
 0325x; Daewoo ABL-30, Start Provision, Akira, Радуга  (TV);0,75;Є
